district,region,status,regnum,orgname,prevorgname,ogrn,inn,kpp,legaladdress,actualaddress,mailingaddress,headname,phone,fax,email,applicationreq,decisionreq,infoinclusion,basis,actstatus,actrevision,decminenergo,chzone,boundaries,terms,services,annualvolume,amountelectricity,volumecitizens,requisitesorder,requisitesnotification,actloss,decisionloss,baseloss,orderexclude,notificationexclude,comments,revisionorder,orderschanges
Сибирский федеральный округ,Алтайский край,DELD,22/03,Краевое государственное унитарное предприятие коммунальных электрических сетей «Алтайкрайэнерго»,,,,,"656002, Алтайский край, г. Барнаул, ул. Воровского, 163","656002, Алтайский край, г. Барнаул, ул. Воровского, 163","656002, Алтайский край, г. Барнаул, ул. Воровского, 163",Набокко Станислав Юрьевич,,,,,,,,"В границах балансовой принадлежности электрических сетей, к которым присоединены потребители, подлежащие обслуживанию по договорам энергоснабжения (купли-продажи (поставки) электрической энергии), заключенным с данными гарантирующими поставщиками. ",,,,"В границах балансовой принадлежности электрических сетей, к которым присоединены потребители, подлежащие обслуживанию по договорам энергоснабжения (купли-продажи (поставки) электрической энергии), заключенным с данными гарантирующими поставщиками.
...",,"Купля-продажа
Передача",-,,"124,222 млн. кВтч – 2007 г.",,,,,,Приказ № 148-э от 04.07.2007,от 10.09.2010 г. № ЕП-7587/14,,,
Сибирский федеральный округ,Алтайский край,ACTI,22/01,Акционерное общество «Алтайэнергосбыт»,,1062224065166,2224103849,222501001,"656049, Алтайский край, г. Барнаул, ул. Интернациональная, д. 122","656049, Алтайский край, г. Барнаул, ул. Интернациональная, д. 122","656049, Алтайский край, г. Барнаул, ул. Интернациональная, д. 122",Нагорнов Валерий Анатольевич,(3852)22-39-51 ,(3852)22-39-52,kanz@altaiensb.com,,,ACTI,п. 36 а) ПП № 530,Решение управления Алтайского края по государственному регулированию цен и тарифов от 07.09.2010 № 30 ,"(в редакции решений от 13.09.2010 № 31, от 16.09.2011 № 194, от 30.03.2012 № 38, от 10.05.2012 № 61, от 28.06.2012 № 80, от 05.09.2012 № 111, от 23.01.2013 № 10, от 28.01.2015 № 21, от 27.05.2015 № 65, от 29.06.2015 № 85)",,(-22/07),"Административные границы Алтайского края, за исключением зон деятельности гарантирующих поставщиков электрической энергии ОАО ""Алтайкрайэнерго"", АО ""Барнаульская горэлектросеть"", ООО ""Заринская горэлектросеть"".

...",,Купля-продажа,"7 850,71 млн. кВтч – 2006 г.
8 525,770 млн. кВтч – 2007 г.
6 939,688 млн. кВтч – 2009 г.
8 649,371 млн. кВтч – 2010 г.
5 170,228 млн. кВтч-2011 г.
4 794,723 млн. кВтч – 2012 г.
4 594,930 млн. кВтч – 2013 г.
4 583,992 млн. кВтч – 2014 г.
3 689 924 ","688,134 млн. кВтч – 2006 г.
642,102 млн. кВтч – 2007 г.
706,978 млн. кВтч – 2009 г.
667,142 млн. кВтч – 2010 г.
996,700 млн. кВтч-2011 г.
824,801 млн. кВтч – 2012 г.
848,059 млн. кВтч – 2013 г.
1 025, 991 млн. кВтч – 2014 г.
1 067 161 278 кВТ.Ч. -","898,159 млн. кВтч – 2006г.
870,458 млн. кВтч – 2007 г.
902,033 млн. кВтч – 2009 г.
847,996 млн. кВтч – 2010 г.
1 122,851 млн. кВтч-2011 г.
952,980 млн. кВтч – 2012 г.
981,321 млн. кВтч – 2013 г.
896,903 млн. кВтч – 2014 г.
813 987 404 кВт.ч. - 201",Приказ № 148-э от 04.07.2007,от 12.07.2007 г. № ЕЯ-3983/14 и от 12.07.2007 г. № ЕЯ-3985/14,,,,,,"изменение зоны по п.229, +часть 22/07 ПРОЕКТ ПРИКАЗА; изменение на АО; изменение зоны по п.229 с 01.07.15 (-в 22/02, 22/06, 22/08)","14-э от 29.01.2009
486-э от 30.12.2009
325-э от 13.07.2010
435-э от 09.09.2010
533-э от 09.11.2010
48-э от 10.02.2011
379-э от 20.07.2011
597-э от 21.09.2011
646-э от 28.09.2012
193-э от 05.03.2013
269-э от 14.03.2013
2425-э от 31.12.2014
779-э от 21.04.2","639-э от 27.09.2012
471/17 от 10.04.2017"
Сибирский федеральный округ,Алтайский край,ACTI,22/02,"АО ""Барнаульская горэлектросеть""",,1022200903383,2221008019,220250001,"656015, Алтайский край, г.Барнаул, ул. Деповская, 19","656015, Алтайский край, г.Барнаул, ул. Деповская, 19","656015, Алтайский край, г.Барнаул, ул. Деповская, 19",Генеральный директор Василиади Иван Данилович,(3852)616-335,(3852)368-017,onk@bges.ru,,,ACTI,п. 36 б) ПП № 530,Решение управления Алтайского края по государственному регулированию цен и тарифов от 07.09.2010 г. № 30 ,"(в редакции от 13.09.2010 № 31, от 16.09.2011 № 194, от 30.03.2012 № 38, от 10.05.2012 № 61, от 28.06.2012 № 80, от 05.09.2012 № 111, от 23.01.2013 № 10, от 28.01.2015 N 21,
от 27.05.2015 N 65, от 29.06.2015 N 85)",,"(ранее - ПАО ""Барнаульская горэлектросеть"")(ранее - ОАО ""Барнаульская горэлектросеть"") (-22/07)","Границы балансовой принадлежности электрических сетей ООО ""Барнаульская сетевая компания"" за исключением границ зоны деятельности гарантирующего поставщика ОАО ""Алтайэнергосбыт"" на территории Алтайского края согласно Приложению № 2 к решению от 07.09.2010",,Купля-продажа,"1 578,74 млн. кВтч
1542, 9387 млн. кВт.ч. - 2016 г.
1545,18 млн. кВт.ч. - 2017 г.","749,43 млн. кВтч
759,016 млн. кВт.ч. - 2016 г.
744,42 млн. кВт.ч. - 2017 г.","626,1 млн. кВтч
637,1994 млн. кВт.ч. - 2016 г.
621,86 млн. кВт.ч. - 2017 г.",Приказ № 148-э от 04.07.2007,от 12.07.2007 г. № ЕЯ-3984/14,,,,,,"изменение на АО, ПРОЕКТ ПРИКАЗА, изменение описания зоны по п.229 ПРОЕКТ ПРИКАЗА; изменение зоны по п.231+п.232 + еще по п.231? + по п.232?; изменение зоны по п.229 с 01.07.15 (+часть 22/01 (ранее 22/07))","14-э от 29.01.2009
486-э от 30.12.2009
325-э от 13.07.2010
435-э от 09.09.2010
533-э от 09.11.2010
48-э от 10.02.2011
379-э от 20.07.2011
597-э от 21.09.2011
646-э от 28.09.2012
193-э от 05.03.2013
269-э от 14.03.2013
2425-э от 31.12.2014
779-э от 21.04.2","639-э от 27.09.2012
779-э от 21.04.2015
1355-э от 06.07.2015"
Сибирский федеральный округ,Алтайский край,ACTI,22/06,"АО ""Алтайкрайэнерго""",Краевое государственное унитарное предприятие коммунальных электрических сетей «Алтайкрайэнерго»,1092224002331,2224132840,222401001,"656002, Алтайский край, г. Барнаул, ул. Воровского, 163","656002, Алтайский край, г. Барнаул, ул. Воровского, 163","656002, Алтайский край, г. Барнаул, ул. Воровского, 163",Панарин Игорь Ильич,+7(3852)245673,+7(3852) 24-54-43,priemnaya@altek.ru,,,,п. 36 б) ПП № 530,Решение Главного управления экономики и инвестиций Алтайского края от 26.06.2007 г. № 17 (в редакции от 02.06.2009 № 31) Решение управления Алтайского края по государственному регулированию цен и тарифов от 07.09.2010 г. № 30 (в редакции от 13.09.2010 № 3,"(в ред. решений управления Алтайского края по государственному регулированию цен и тарифов от 29.07.2015 № 113, от 22.09.2016 № 258, от 30.08.2018 № 113 )",,"(ранее - Краевое государственное унитарное предприятие коммунальных электрических сетей  ""Алтайкрайэнерго""  - 22/03) (-22/07) ","Границы балансовой принадлежности электрических сетей АО ""Сетевая компания Алтайкрайэнерго"", согласно приложению 1 к решению управления Алтайского края по государственному регулированию цен и тарифов от 7 сентября 2010 № 30
...",,"Купля-продажа
Передача","1,973 млрд. кВтч","0,943 млрд. кВтч","0,815 млрд. кВтч",Приказ № 435-э от 09.09.2010,от 10.09.2010 г. № ЕП-7586/14,,,,,,"изменение описания зоны по п.229 ПРОЕКТ ПРИКАЗА; изменение зоны по п.229 с 01.07.15 (+часть 22/01 (ранее 22/07)), изменение зоны по п.232",,"639-э от 27.09.2012
506/17 от 14.04.2017"
Сибирский федеральный округ,Алтайский край,DELD,22/07,Акционерное общество «Оборонэнергосбыт»,,1097746448315,7704731218,222545001,"127055, г. Москва, ул. Образцова. д. 4а, корп.1","127055, г. Москва, ул. Образцова. д. 4а, корп.1","127055, г. Москва, ул. Образцова. д. 4а, корп.1",Сундуков Олег Вячеславович,+7(3852)24-67-20,,info22@sibir.oes.su,,,,п. 36 д) ПП № 530,"Решение Управления Алтайского края по государственному регулированию цен и тарифов «О согласовании границ зон деятельности гарантирующих поставщиков электрической энергии на территории Алтайского края» от 07.09.2010 № 30 (в редакции от 16.09.2011 № 194, о",,,,"Границы балансовой принадлежности электрических сетей, принадлежащих на праве собственности или ином законном основании организациям (сетевым организациям, хозяйствующим субъектам), находящимся в ведении Министерства обороны Российской Федерации и (или) о",,Купля-продажа,"-

10,630 млн. кВтч – 2013 г.","64,04 млн. кВтч – 2011 г.

60,914 млн. кВтч – 2012 г.

46,666 млн. кВтч – 2013 г.","4, 45 млн. кВтч – 2011 г.

5,207 млн. кВтч – 2012 г.

5,216 млн. кВтч – 2013 г.",Приказ № 639-э от 27.09.2012,от 03.10.2012 № ЕП-7746/14,,,,,,"изменение зоны по п.229 (- часть в 22/01) ПРОЕКТ ПРИКАЗА
",,1399 от 23.12.2016
Сибирский федеральный округ,Алтайский край,ACTI,22/08,"ООО ""Заринская горэлектросеть""",,1072205000295,2205010540,220501001,"659100, Алтайский край, г. Заринск, ул. Молодежная, 17","659100, Алтайский край, г. Заринск, ул. Молодежная, 17","659100, Алтайский край, г. Заринск, ул. Молодежная, 17",Горохова Елена Владиславовна,+7(38595)76070;76069,+7(38595)41473,eg@zges22i.ru,,,,п. 36 б) ПП № 530,"Решение управления Алтайского края по государственному регулированию цен и тарифов от 07.09.2010 г. № 30 (в редакции от 13.09.2010 № 31, от 16.09.2011 № 194, от 30.03.2012 № 38, от 10.05.2012 № 61, от 28.06.2012 № 80, от 05.09.2012 № 111, от 23.01.2013 № ",,,,Границы балансовой принадлежности электрических сетей ООО «Заринская сетевая компания» ...,,Купля-продажа,125?181 млн.кВтч,"68,576 млн.кВтч","59,223 млн.кВтч",Приказ № 36-э от 24.01.2013,от 25.01.2013 г. № ЕП-511/14,,,,,,изменение описания зоны по п.229 ПРОЕКТ ПРИКАЗА; изменение зоны по п.229 с 01.07.15 (+часть 22/01 (ранее 22/07)),,
Сибирский федеральный округ,Алтайский край,DELD,22.04,МУП «Заринская горэлектросеть»,,,,,"659100, Алтайский края, г. Заринск, ул. Молодежная, 17","659100, Алтайский края, г. Заринск, ул. Молодежная, 17","659100, Алтайский края, г. Заринск, ул. Молодежная, 17",Приб Сергей Николаевич,,,,,,,,"В границах балансовой принадлежности электрических сетей, к которым присоединены потребители, подлежащие обслуживанию по договорам энергоснабжения (купли-продажи (поставки) электрической энергии), заключенным с данными гарантирующими поставщиками. ",,,,"В границах балансовой принадлежности электрических сетей, к которым присоединены потребители, подлежащие обслуживанию по договорам энергоснабжения (купли-продажи (поставки) электрической энергии), заключенным с данными гарантирующими поставщиками.
...",,Купля-продажа,-,,"103,263 млн. кВтч – 2006 г.",,,,,,Приказ № 375-э от 27.10.2008,от 31.10.2008 г. № ДС-6235/14,,,
Сибирский федеральный округ,Алтайский край,DELD,22/05,ООО «Заринская городская электрическая сеть»,,1072205000295,2205010540,220501001,"659100, Алтайский край, г. Заринск, ул. Молодежная, 17","659100, Алтайский край, г. Заринск, ул. Молодежная, 17","659100, Алтайский край, г. Заринск, ул. Молодежная, 17",Бедреев Александр Иванович,+7(38595)76070;76069,,eg@zges22i.ru,,,,,"в границах балансовой принадлежности электрических сетей ООО ""Заринская сетевая компания"", за исключением границ зоны деятельности гарантирующего поставщика ОАО ""Оборонэнергосбыт согласно Приложению № 3 к решению Управления Алтайского края по государствен",,,,"в границах балансовой принадлежности электрических сетей ООО ""Заринская сетевая компания"", за исключением границ зоны деятельности гарантирующего поставщика ОАО ""Оборонэнергосбыт
согласно Приложению № 3 к решению Управления Алтайского края по государстве",,"Купля-продажа
Передача","123,529 млн. кВтч – 2009 г.

125,85 млн. кВтч – 2010 г.",,"64,55 млн. кВтч – 2009 г.

66,66 млн. кВтч – 2010 г.",,,,,,Приказ № 375-э от 27.10.2008,от 05.10.2012 г. № ЕП-7834/14,,,
Дальневосточный федеральный округ,Амурская область,DELD,28/04,Муниципальное унитарное предприятие «Теплоэнергосервис»,,,,,"674450, Амурская область, г. Свободный, ул. Карла Маркса, 14",,,Каландия Ираклий Николаевич,,,,,,,,Приказ Управления государственного регулирования цен и тарифов Амурской области от 20.10.2006 г. № 82-пр/э,,,,"Границы балансовой принадлежности с гарантирующим поставщиком ОАО «Дальневосточная энергетическая компания»: -ПС «Базовая» ф. №№ 2, 7, 10, 13, 15, 16;
- ПС «Южная» ф. №№ 1, 2, 3, 4, 6, 8, 12, 13;
- ПС «Свободный» ф. №№ 7, 11(ТП № 2-040); № 2 (ТП № 2-041",,"Купля-продажа
Передача",-,,"65,6 млн. кВтч - 2007",,,,,,Приказ № 7-э от 17.01.2007,от 30.06.2008 № НБ-3496/14,,,
Дальневосточный федеральный округ,Амурская область,ACTI,28/15,Открытое акционерное общество «Дальневосточная энергетическая компания»,,1072721001660,2723088770,997450001,"690091, Приморский край, г. Владивосток, ул. Тигровая, 19","690091, Приморский край, г. Владивосток, ул. Тигровая, 19","690091, Приморский край, г. Владивосток, ул. Тигровая, 19",Кимерин Владимир Анатольевич,8 (4232) 40-68-45,,priemn@dvec.ru,,,,"п. 36 а), 42 ПП № 530","Приказ Управления государственного регулирования цен и тарифов Администрации Амурской области от 20.10.2006 № 82-пр/э (в ред. от 16.10.2009 № 80-пр/э, от 02.08.2011 № 124 пр/э) ",,,"(+28/14, 28/12) (+28/03) (-28/18) (+часть 28/05) (+часть 28/11) (+28/18) ","Административные границы Амурской области, за исключением зон, определенных для гарантирующих поставщиков, получивших статус гарантирующего поставщика в соответствии с подпунктами «б», «в», «г» пункта 36 Правил, в том числе границы балансовой принадлежнос",,Купля-продажа,"5 616,173 млн. кВтч – 2009

6 149,161 млн. кВтч – 2010

6 349,740 млн. кВтч – 2011

6 736,735 млн. кВтч. – 2012

6 696,87 млн. кВтч – 2013

6 662,2 млн. кВтч – 2014
6561,68 млн. кВт.ч. - 2016 г.","786,416 млн. кВтч – 2009
849,934 млн. кВтч – 2010
815,966 млн. кВтч – 2011
858,17 млн. кВтч. – 2012
929,27 млн. кВтч – 2013
1015,93 млн. кВтч – 2014
1312,75 млн. кВт.ч. - 2016 г.","567,072 млн. кВтч – 2009

623,056 млн. кВтч – 2010

674,617 млн. кВтч – 2011

722,848 млн. кВтч. – 2012

788,82 млн. кВтч – 2013

879,64 млн. кВтч – 2014
1125,38 млн. кВт.ч. - 2016 г.",Приказ № 149-э от 04.07.2007,от 12.07.2007 № ЕЯ-4006/14,,,,,,изменение границ по п.230 (+часть 28/11); Изменение зоны по п.229 с 1.01.2015 (+28/18),,"247-э от 30.06.2009
271-э от 17.07.2009
300-э от 30.06.2010
774-э от 02.12.2011
541-э от 29.04.2013"
